"issue.date","song","artist","year"
"December 1","""Top of the World""","The Carpenters",1973
"December 8","""Top of the World""","The Carpenters",1973
"December 15","""The Most Beautiful Girl""","Charlie Rich",1973
"December 22","""The Most Beautiful Girl""","Charlie Rich",1973
"December 29","""Time in a Bottle""","Jim Croce",1973
"January 5","""Time in a Bottle""","Jim Croce",1974
"January 12","""The Joker""","Steve Miller Band",1974
"January 19","""Show and Tell""","Al Wilson",1974
"January 26","""You're Sixteen""","Ringo Starr",1974
"February 2","""The Way We Were""","Barbra Streisand",1974
"February 9","""Love's Theme""","Love Unlimited Orchestra",1974
"February 16","""The Way We Were""","Barbra Streisand",1974
"February 23","""The Way We Were""","Barbra Streisand",1974
"March 2","""Seasons in the Sun""","Terry Jacks",1974
"March 9","""Seasons in the Sun""","Terry Jacks",1974
"March 16","""Seasons in the Sun""","Terry Jacks",1974
"March 23","""Dark Lady""","Cher",1974
"March 30","""Sunshine on My Shoulders""","John Denver",1974
"April 6","""Hooked on a Feeling""","Blue Swede",1974
"April 13","""Bennie and the Jets""","Elton John",1974
"April 20","""TSOP (The Sound of Philadelphia)""","MFSB and The Three Degrees",1974
"April 27","""TSOP (The Sound of Philadelphia)""","MFSB and The Three Degrees",1974
"May 4","""The Loco-Motion""","Grand Funk",1974
"May 11","""The Loco-Motion""","Grand Funk",1974
"May 18","""The Streak""","Ray Stevens",1974
"May 25","""The Streak""","Ray Stevens",1974
"June 1","""The Streak""","Ray Stevens",1974
"June 8","""Band on the Run""","Paul McCartney & Wings",1974
"June 15","""Billy Don't Be a Hero""","Bo Donaldson and The Heywoods",1974
"June 22","""Billy Don't Be a Hero""","Bo Donaldson and The Heywoods",1974
"June 29","""Sundown""","Gordon Lightfoot",1974
"July 6","""Rock the Boat""","The Hues Corporation",1974
"July 13","""Rock Your Baby""","George McCrae",1974
"July 20","""Rock Your Baby""","George McCrae",1974
"July 27","""Annie's Song""","John Denver",1974
"August 3","""Annie's Song""","John Denver",1974
"August 10","""Feel Like Makin' Love""","Roberta Flack",1974
"August 17","""The Night Chicago Died""","Paper Lace",1974
"August 24","""(You're) Having My Baby""","Paul Anka and Odia Coates",1974
"August 31","""(You're) Having My Baby""","Paul Anka and Odia Coates",1974
"September 7","""(You're) Having My Baby""","Paul Anka and Odia Coates",1974
"September 14","""I Shot the Sheriff""","Eric Clapton",1974
"September 21","""Can't Get Enough of Your Love, Babe""","Barry White",1974
"September 28","""Rock Me Gently""","Andy Kim",1974
"October 5","""I Honestly Love You""","Olivia Newton-John",1974
"October 12","""I Honestly Love You""","Olivia Newton-John",1974
"October 19","""Nothing From Nothing""","Billy Preston",1974
"October 26","""Then Came You""","Dionne Warwick and The Spinners",1974
"November 2","""You Haven't Done Nothin'""","Stevie Wonder",1974
"November 9","""You Ain't Seen Nothing Yet""","Bachman-Turner Overdrive",1974
"November 16","""Whatever Gets You thru the Night""","John Lennon",1974
"November 23","""I Can Help""","Billy Swan",1974
"November 30","""I Can Help""","Billy Swan",1974
"December 7","""Kung Fu Fighting""","Carl Douglas",1974
"December 14","""Kung Fu Fighting""","Carl Douglas",1974
"December 21","""Cat's in the Cradle""","Harry Chapin",1974
"December 28","""Angie Baby""","Helen Reddy",1974
"January 4","""Lucy in the Sky with Diamonds""","Elton John",1975
"January 11","""Lucy in the Sky with Diamonds""","Elton John",1975
"January 18","""Mandy""","Barry Manilow",1975
"January 25","""Please Mr. Postman""","The Carpenters",1975
"February 1","""Laughter in the Rain""","Neil Sedaka",1975
"February 8","""Fire""","Ohio Players",1975
"February 15","""You're No Good""","Linda Ronstadt",1975
"February 22","""Pick Up the Pieces""","Average White Band",1975
"March 1","""Best of My Love""","Eagles",1975
"March 8","""Have You Never Been Mellow""","Olivia Newton-John",1975
"March 15","""Black Water""","The Doobie Brothers",1975
"March 22","""My Eyes Adored You""","Frankie Valli",1975
"March 29","""Lady Marmalade""","Labelle",1975
"April 5","""Lovin' You""","Minnie Riperton",1975
"April 12","""Philadelphia Freedom""","Elton John Band",1975
"April 19","""Philadelphia Freedom""","Elton John Band",1975
"April 26","""(Hey Won't You Play) Another Somebody Done Somebody Wrong Song""","B. J. Thomas",1975
"May 3","""He Don't Love You (Like I Love You)""","Tony Orlando and Dawn",1975
"May 10","""He Don't Love You (Like I Love You)""","Tony Orlando and Dawn",1975
"May 17","""He Don't Love You (Like I Love You)""","Tony Orlando and Dawn",1975
"May 24","""Shining Star""","Earth, Wind & Fire",1975
"May 31","""Before the Next Teardrop Falls""","Freddy Fender",1975
"June 7","""Thank God I'm a Country Boy""","John Denver",1975
"June 14","""Sister Golden Hair""","America",1975
"June 21","""Love Will Keep Us Together""","Captain & Tennille",1975
"June 28","""Love Will Keep Us Together""","Captain & Tennille",1975
"July 5","""Love Will Keep Us Together""","Captain & Tennille",1975
"July 12","""Love Will Keep Us Together""","Captain & Tennille",1975
"July 19","""Listen to What the Man Said""","Wings",1975
"July 26","""The Hustle""","Van McCoy and the Soul City Symphony",1975
"August 2","""One of These Nights""","Eagles",1975
"August 9","""Jive Talkin'""","Bee Gees",1975
"August 16","""Jive Talkin'""","Bee Gees",1975
"August 23","""Fallin' in Love""","Hamilton, Joe Frank & Reynolds",1975
"August 30","""Get Down Tonight""","KC and the Sunshine Band",1975
"September 6","""Rhinestone Cowboy""","Glen Campbell",1975
"September 13","""Rhinestone Cowboy""","Glen Campbell",1975
"September 20","""Fame""","David Bowie",1975
"September 27","""I'm Sorry""","John Denver",1975
"October 4","""Fame""","David Bowie",1975
"October 11","""Bad Blood""","Neil Sedaka",1975
"October 18","""Bad Blood""","Neil Sedaka",1975
"October 25","""Bad Blood""","Neil Sedaka",1975
"November 1","""Island Girl""","Elton John",1975
"November 8","""Island Girl""","Elton John",1975
"November 15","""Island Girl""","Elton John",1975
"November 22","""That's the Way (I Like It)""","KC and the Sunshine Band",1975
"November 29","""Fly, Robin, Fly""","Silver Convention",1975
"December 6","""Fly, Robin, Fly""","Silver Convention",1975
"December 13","""Fly, Robin, Fly""","Silver Convention",1975
"December 20","""That's the Way (I Like It)""","KC and the Sunshine Band",1975
"December 27","""Let's Do It Again""","The Staple Singers",1975
"January 3","""Saturday Night""","Bay City Rollers",1976
"January 10","""Convoy""","C.W. McCall",1976
"January 17","""I Write the Songs""","Barry Manilow",1976
"January 24","""Theme from Mahogany (Do You Know Where You're Going To)""","Diana Ross",1976
"January 31","""Love Rollercoaster""","Ohio Players",1976
"February 7","""50 Ways to Leave Your Lover""","Paul Simon",1976
"February 14","""50 Ways to Leave Your Lover""","Paul Simon",1976
"February 21","""50 Ways to Leave Your Lover""","Paul Simon",1976
"February 28","""Theme from S.W.A.T.""","Rhythm Heritage",1976
"March 6","""Love Machine (Part 1)""","The Miracles",1976
"March 13","""December, 1963 (Oh, What a Night)""","The Four Seasons",1976
"March 20","""December, 1963 (Oh, What a Night)""","The Four Seasons",1976
"March 27","""December, 1963 (Oh, What a Night)""","The Four Seasons",1976
"April 3","""Disco Lady""","Johnnie Taylor",1976
"April 10","""Disco Lady""","Johnnie Taylor",1976
"April 17","""Disco Lady""","Johnnie Taylor",1976
"April 24","""Disco Lady""","Johnnie Taylor",1976
"May 1","""Let Your Love Flow""","The Bellamy Brothers",1976
"May 8","""Welcome Back""","John Sebastian",1976
"May 15","""Boogie Fever""","The Sylvers",1976
"May 22","""Silly Love Songs""","Wings",1976
"May 29","""Love Hangover""","Diana Ross",1976
"June 5","""Love Hangover""","Diana Ross",1976
"June 12","""Silly Love Songs""","Wings",1976
"June 19","""Silly Love Songs""","Wings",1976
"June 26","""Silly Love Songs""","Wings",1976
"July 3","""Silly Love Songs""","Wings",1976
"July 10","""Afternoon Delight""","Starland Vocal Band",1976
"July 17","""Afternoon Delight""","Starland Vocal Band",1976
"July 24","""Kiss and Say Goodbye""","The Manhattans",1976
"July 31","""Kiss and Say Goodbye""","The Manhattans",1976
"August 7","""Don't Go Breaking My Heart""","Elton John and Kiki Dee",1976
"August 14","""Don't Go Breaking My Heart""","Elton John and Kiki Dee",1976
"August 21","""Don't Go Breaking My Heart""","Elton John and Kiki Dee",1976
"August 28","""Don't Go Breaking My Heart""","Elton John and Kiki Dee",1976
"September 4","""You Should Be Dancing""","Bee Gees",1976
"September 11","""(Shake, Shake, Shake) Shake Your Booty""","KC and the Sunshine Band",1976
"September 18","""Play That Funky Music""","Wild Cherry",1976
"September 25","""Play That Funky Music""","Wild Cherry",1976
"October 2","""Play That Funky Music""","Wild Cherry",1976
"October 9","""A Fifth of Beethoven""","Walter Murphy and the Big Apple Band",1976
"October 16","""Disco Duck (Part 1)""","Rick Dees and His Cast of Idiots",1976
"October 23","""If You Leave Me Now""","Chicago",1976
"October 30","""If You Leave Me Now""","Chicago",1976
"November 6","""Rock'n Me""","Steve Miller Band",1976
"November 13","""Tonight's the Night (Gonna Be Alright)""","Rod Stewart",1976
"November 20","""Tonight's the Night (Gonna Be Alright)""","Rod Stewart",1976
"November 27","""Tonight's the Night (Gonna Be Alright)""","Rod Stewart",1976
"December 4","""Tonight's the Night (Gonna Be Alright)""","Rod Stewart",1976
"December 11","""Tonight's the Night (Gonna Be Alright)""","Rod Stewart",1976
"December 18","""Tonight's the Night (Gonna Be Alright)""","Rod Stewart",1976
"December 25","""Tonight's the Night (Gonna Be Alright)""","Rod Stewart",1976
"January 1","""Tonight's the Night (Gonna Be Alright)""","Rod Stewart",1977
"January 8","""You Don't Have to Be a Star (To Be in My Show)""","Marilyn McCoo and Billy Davis, Jr.",1977
"January 15","""You Make Me Feel Like Dancing""","Leo Sayer",1977
"January 22","""I Wish""","Stevie Wonder",1977
"January 29","""Car Wash""","Rose Royce",1977
"February 5","""Torn Between Two Lovers""","Mary MacGregor",1977
"February 12","""Torn Between Two Lovers""","Mary MacGregor",1977
"February 19","""Blinded by the Light""","Manfred Mann's Earth Band",1977
"February 26","""New Kid in Town""","Eagles",1977
"March 5","""Evergreen (Love Theme from A Star Is Born)""","Barbra Streisand",1977
"March 12","""Evergreen (Love Theme from A Star Is Born)""","Barbra Streisand",1977
"March 19","""Evergreen (Love Theme from A Star Is Born)""","Barbra Streisand",1977
"March 26","""Rich Girl""","Daryl Hall and John Oates",1977
"April 2","""Rich Girl""","Daryl Hall and John Oates",1977
"April 9","""Dancing Queen""","ABBA",1977
"April 16","""Don't Give Up on Us""","David Soul",1977
"April 23","""Don't Leave Me This Way""","Thelma Houston",1977
"April 30","""Southern Nights""","Glen Campbell",1977
"May 7","""Hotel California""","Eagles",1977
"May 14","""When I Need You""","Leo Sayer",1977
"May 21","""Sir Duke""","Stevie Wonder",1977
"May 28","""Sir Duke""","Stevie Wonder",1977
"June 4","""Sir Duke""","Stevie Wonder",1977
"June 11","""I'm Your Boogie Man""","KC and the Sunshine Band",1977
"June 18","""Dreams""","Fleetwood Mac",1977
"June 25","""Got to Give It Up (Part 1)""","Marvin Gaye",1977
"July 2","""Gonna Fly Now (Theme From Rocky)""","Bill Conti",1977
"July 9","""Undercover Angel""","Alan O'Day",1977
"July 16","""Da Doo Ron Ron""","Shaun Cassidy",1977
"July 23","""Looks Like We Made It""","Barry Manilow",1977
"July 30","""I Just Want to Be Your Everything""","Andy Gibb",1977
"August 6","""I Just Want to Be Your Everything""","Andy Gibb",1977
"August 13","""I Just Want to Be Your Everything""","Andy Gibb",1977
"August 20","""Best of My Love""","The Emotions",1977
"August 27","""Best of My Love""","The Emotions",1977
"September 3","""Best of My Love""","The Emotions",1977
"September 10","""Best of My Love""","The Emotions",1977
"September 17","""I Just Want to Be Your Everything""","Andy Gibb",1977
"September 24","""Best of My Love""","The Emotions",1977
"October 1","""Star Wars Theme/Cantina Band""","Meco",1977
"October 8","""Star Wars Theme/Cantina Band""","Meco",1977
"October 15","""You Light Up My Life""","Debby Boone",1977
"October 22","""You Light Up My Life""","Debby Boone",1977
"October 29","""You Light Up My Life""","Debby Boone",1977
"November 5","""You Light Up My Life""","Debby Boone",1977
"November 12","""You Light Up My Life""","Debby Boone",1977
"November 19","""You Light Up My Life""","Debby Boone",1977
"November 26","""You Light Up My Life""","Debby Boone",1977
"December 3","""You Light Up My Life""","Debby Boone",1977
"December 10","""You Light Up My Life""","Debby Boone",1977
"December 17","""You Light Up My Life""","Debby Boone",1977
"December 24","""How Deep Is Your Love""","Bee Gees",1977
"December 31","""How Deep Is Your Love""","Bee Gees",1977
"January 7","""How Deep Is Your Love""","Bee Gees",1978
"January 14","""Baby Come Back""","Player",1978
"January 21","""Baby Come Back""","Player",1978
"January 28","""Baby Come Back""","Player",1978
"February 4","""Stayin' Alive""","Bee Gees",1978
"February 11","""Stayin' Alive""","Bee Gees",1978
"February 18","""Stayin' Alive""","Bee Gees",1978
"February 25","""Stayin' Alive""","Bee Gees",1978
"March 4","""(Love Is) Thicker Than Water""","Andy Gibb",1978
"March 11","""(Love Is) Thicker Than Water""","Andy Gibb",1978
"March 18","""Night Fever""","Bee Gees",1978
"March 25","""Night Fever""","Bee Gees",1978
"April 1","""Night Fever""","Bee Gees",1978
"April 8","""Night Fever""","Bee Gees",1978
"April 15","""Night Fever""","Bee Gees",1978
"April 22","""Night Fever""","Bee Gees",1978
"April 29","""Night Fever""","Bee Gees",1978
"May 6","""Night Fever""","Bee Gees",1978
"May 13","""If I Can't Have You""","Yvonne Elliman",1978
"May 20","""With a Little Luck""","Wings",1978
"May 27","""With a Little Luck""","Wings",1978
"June 3","""Too Much, Too Little, Too Late""","Johnny Mathis and Deniece Williams",1978
"June 10","""You're the One That I Want""","John Travolta and Olivia Newton-John",1978
"June 17","""Shadow Dancing""","Andy Gibb",1978
"June 24","""Shadow Dancing""","Andy Gibb",1978
"July 1","""Shadow Dancing""","Andy Gibb",1978
"July 8","""Shadow Dancing""","Andy Gibb",1978
"July 15","""Shadow Dancing""","Andy Gibb",1978
"July 22","""Shadow Dancing""","Andy Gibb",1978
"July 29","""Shadow Dancing""","Andy Gibb",1978
"August 5","""Miss You""","The Rolling Stones",1978
"August 12","""Three Times a Lady""","Commodores",1978
"August 19","""Three Times a Lady""","Commodores",1978
"August 26","""Grease""","Frankie Valli",1978
"September 2","""Grease""","Frankie Valli",1978
"September 9","""Boogie Oogie Oogie""","A Taste of Honey",1978
"September 16","""Boogie Oogie Oogie""","A Taste of Honey",1978
"September 23","""Boogie Oogie Oogie""","A Taste of Honey",1978
"September 30","""Kiss You All Over""","Exile",1978
"October 7","""Kiss You All Over""","Exile",1978
"October 14","""Kiss You All Over""","Exile",1978
"October 21","""Kiss You All Over""","Exile",1978
"October 28","""Hot Child in the City""","Nick Gilder",1978
"November 4","""You Needed Me""","Anne Murray",1978
"November 11","""MacArthur Park""","Donna Summer",1978
"November 18","""MacArthur Park""","Donna Summer",1978
"November 25","""MacArthur Park""","Donna Summer",1978
"December 2","""You Don't Bring Me Flowers""","Barbra Streisand and Neil Diamond",1978
"December 9","""Le Freak""","Chic",1978
"December 16","""You Don't Bring Me Flowers""","Barbra Streisand and Neil Diamond",1978
"December 23","""Le Freak""","Chic",1978
"December 30","""Le Freak""","Chic",1978
"January 6","""Too Much Heaven""","Bee Gees",1979
"January 13","""Too Much Heaven""","Bee Gees",1979
"January 20","""Le Freak""","Chic",1979
"January 27","""Le Freak""","Chic",1979
"February 3","""Le Freak""","Chic",1979
"February 10","""Da Ya Think I'm Sexy?""","Rod Stewart",1979
"February 17","""Da Ya Think I'm Sexy?""","Rod Stewart",1979
"February 24","""Da Ya Think I'm Sexy?""","Rod Stewart",1979
"March 3","""Da Ya Think I'm Sexy?""","Rod Stewart",1979
"March 10","""I Will Survive""","Gloria Gaynor",1979
"March 17","""I Will Survive""","Gloria Gaynor",1979
"March 24","""Tragedy""","Bee Gees",1979
"March 31","""Tragedy""","Bee Gees",1979
"April 7","""I Will Survive""","Gloria Gaynor",1979
"April 14","""What a Fool Believes""","The Doobie Brothers",1979
"April 21","""Knock on Wood""","Amii Stewart",1979
"April 28","""Heart of Glass""","Blondie",1979
"May 5","""Reunited""","Peaches & Herb",1979
"May 12","""Reunited""","Peaches & Herb",1979
"May 19","""Reunited""","Peaches & Herb",1979
"May 26","""Reunited""","Peaches & Herb",1979
"June 2","""Hot Stuff""","Donna Summer",1979
"June 9","""Love You Inside Out""","Bee Gees",1979
"June 16","""Hot Stuff""","Donna Summer",1979
"June 23","""Hot Stuff""","Donna Summer",1979
"June 30","""Ring My Bell""","Anita Ward",1979
"July 7","""Ring My Bell""","Anita Ward",1979
"July 14","""Bad Girls""","Donna Summer",1979
"July 21","""Bad Girls""","Donna Summer",1979
"July 28","""Bad Girls""","Donna Summer",1979
"August 4","""Bad Girls""","Donna Summer",1979
"August 11","""Bad Girls""","Donna Summer",1979
"August 18","""Good Times""","Chic",1979
"August 25","""My Sharona""","The Knack",1979
"September 1","""My Sharona""","The Knack",1979
"September 8","""My Sharona""","The Knack",1979
"September 15","""My Sharona""","The Knack",1979
"September 22","""My Sharona""","The Knack",1979
"September 29","""My Sharona""","The Knack",1979
"October 6","""Sad Eyes""","Robert John",1979
"October 13","""Don't Stop 'Til You Get Enough""","Michael Jackson",1979
"October 20","""Rise""","Herb Alpert",1979
"October 27","""Rise""","Herb Alpert",1979
"November 3","""Pop Muzik""","M",1979
"November 10","""Heartache Tonight""","Eagles",1979
"November 17","""Still""","Commodores",1979
"November 24","""No More Tears (Enough Is Enough)""","Barbra Streisand and Donna Summer",1979
"December 1","""No More Tears (Enough Is Enough)""","Barbra Streisand and Donna Summer",1979
"December 8","""Babe""","Styx",1979
"December 15","""Babe""","Styx",1979
"December 22","""Escape (The Piña Colada Song)""","Rupert Holmes",1979
"December 29","""Escape (The Piña Colada Song)""","Rupert Holmes",1979
"January 5","""Please Don't Go""","KC and the Sunshine Band",1980
"January 12","""Escape (The Piña Colada Song)""","Rupert Holmes",1980
"January 19","""Rock with You""","Michael Jackson",1980
"January 26","""Rock with You""","Michael Jackson",1980
"February 2","""Rock with You""","Michael Jackson",1980
"February 9","""Rock with You""","Michael Jackson",1980
"February 16","""Do That to Me One More Time""","Captain & Tennille",1980
"February 23","""Crazy Little Thing Called Love""","Queen",1980
"March 1","""Crazy Little Thing Called Love""","Queen",1980
"March 8","""Crazy Little Thing Called Love""","Queen",1980
"March 15","""Crazy Little Thing Called Love""","Queen",1980
"March 22","""Another Brick in the Wall, Part II""","Pink Floyd",1980
"March 29","""Another Brick in the Wall, Part II""","Pink Floyd",1980
"April 5","""Another Brick in the Wall, Part II""","Pink Floyd",1980
"April 12","""Another Brick in the Wall, Part II""","Pink Floyd",1980
"April 19","""Call Me""[16]","Blondie",1980
"April 26","""Call Me""[16]","Blondie",1980
"May 3","""Call Me""[16]","Blondie",1980
"May 10","""Call Me""[16]","Blondie",1980
"May 17","""Call Me""[16]","Blondie",1980
"May 24","""Call Me""[16]","Blondie",1980
"May 31","""Funkytown""","Lipps Inc.",1980
"June 7","""Funkytown""","Lipps Inc.",1980
"June 14","""Funkytown""","Lipps Inc.",1980
"June 21","""Funkytown""","Lipps Inc.",1980
"June 28","""Coming Up""","Paul McCartney",1980
"July 5","""Coming Up""","Paul McCartney",1980
"July 12","""Coming Up""","Paul McCartney",1980
"July 19","""It's Still Rock and Roll to Me""","Billy Joel",1980
"July 26","""It's Still Rock and Roll to Me""","Billy Joel",1980
"August 2","""Magic""","Olivia Newton-John",1980
"August 9","""Magic""","Olivia Newton-John",1980
"August 16","""Magic""","Olivia Newton-John",1980
"August 23","""Magic""","Olivia Newton-John",1980
"August 30","""Sailing""","Christopher Cross",1980
"September 6","""Upside Down""","Diana Ross",1980
"September 13","""Upside Down""","Diana Ross",1980
"September 20","""Upside Down""","Diana Ross",1980
"September 27","""Upside Down""","Diana Ross",1980
"October 4","""Another One Bites the Dust""","Queen",1980
"October 11","""Another One Bites the Dust""","Queen",1980
"October 18","""Another One Bites the Dust""","Queen",1980
"October 25","""Woman in Love""","Barbra Streisand",1980
"November 1","""Woman in Love""","Barbra Streisand",1980
"November 8","""Woman in Love""","Barbra Streisand",1980
"November 15","""Lady""","Kenny Rogers",1980
"November 22","""Lady""","Kenny Rogers",1980
"November 29","""Lady""","Kenny Rogers",1980
"December 6","""Lady""","Kenny Rogers",1980
"December 13","""Lady""","Kenny Rogers",1980
"December 20","""Lady""","Kenny Rogers",1980
"December 27","""(Just Like) Starting Over""","John Lennon",1980
"January 3","""(Just Like) Starting Over""","John Lennon",1981
"January 10","""(Just Like) Starting Over""","John Lennon",1981
"January 17","""(Just Like) Starting Over""","John Lennon",1981
"January 24","""(Just Like) Starting Over""","John Lennon",1981
"January 31","""The Tide Is High""","Blondie",1981
"February 7","""Celebration""","Kool & the Gang",1981
"February 14","""Celebration""","Kool & the Gang",1981
"February 21","""9 to 5""","Dolly Parton",1981
"February 28","""I Love a Rainy Night""","Eddie Rabbitt",1981
"March 7","""I Love a Rainy Night""","Eddie Rabbitt",1981
"March 14","""9 to 5""","Dolly Parton",1981
"March 21","""Keep On Loving You""","REO Speedwagon",1981
"March 28","""Rapture""","Blondie",1981
"April 4","""Rapture""","Blondie",1981
"April 11","""Kiss on My List""","Daryl Hall and John Oates",1981
"April 18","""Kiss on My List""","Daryl Hall and John Oates",1981
"April 25","""Kiss on My List""","Daryl Hall and John Oates",1981
"May 2","""Morning Train (Nine to Five)""","Sheena Easton",1981
"May 9","""Morning Train (Nine to Five)""","Sheena Easton",1981
"May 16","""Bette Davis Eyes""","Kim Carnes",1981
"May 23","""Bette Davis Eyes""","Kim Carnes",1981
"May 30","""Bette Davis Eyes""","Kim Carnes",1981
"June 6","""Bette Davis Eyes""","Kim Carnes",1981
"June 13","""Bette Davis Eyes""","Kim Carnes",1981
"June 20","""Stars on 45 Medley""","Stars on 45",1981
"June 27","""Bette Davis Eyes""","Kim Carnes",1981
"July 4","""Bette Davis Eyes""","Kim Carnes",1981
"July 11","""Bette Davis Eyes""","Kim Carnes",1981
"July 18","""Bette Davis Eyes""","Kim Carnes",1981
"July 25","""The One That You Love""","Air Supply",1981
"August 1","""Jessie's Girl""","Rick Springfield",1981
"August 8","""Jessie's Girl""","Rick Springfield",1981
"August 15","""Endless Love""","Diana Ross and Lionel Richie",1981
"August 22","""Endless Love""","Diana Ross and Lionel Richie",1981
"August 29","""Endless Love""","Diana Ross and Lionel Richie",1981
"September 5","""Endless Love""","Diana Ross and Lionel Richie",1981
"September 12","""Endless Love""","Diana Ross and Lionel Richie",1981
"September 19","""Endless Love""","Diana Ross and Lionel Richie",1981
"September 26","""Endless Love""","Diana Ross and Lionel Richie",1981
"October 3","""Endless Love""","Diana Ross and Lionel Richie",1981
"October 10","""Endless Love""","Diana Ross and Lionel Richie",1981
"October 17","""Arthur's Theme (Best That You Can Do)""","Christopher Cross",1981
"October 24","""Arthur's Theme (Best That You Can Do)""","Christopher Cross",1981
"October 31","""Arthur's Theme (Best That You Can Do)""","Christopher Cross",1981
"November 7","""Private Eyes""","Daryl Hall and John Oates",1981
"November 14","""Private Eyes""","Daryl Hall and John Oates",1981
"November 21","""Physical""","Olivia Newton-John",1981
"November 28","""Physical""","Olivia Newton-John",1981
"December 5","""Physical""","Olivia Newton-John",1981
"December 12","""Physical""","Olivia Newton-John",1981
"December 19","""Physical""","Olivia Newton-John",1981
"December 26","""Physical""","Olivia Newton-John",1981
"January 2","""Physical""","Olivia Newton-John",1982
"January 9","""Physical""","Olivia Newton-John",1982
"January 16","""Physical""","Olivia Newton-John",1982
"January 23","""Physical""","Olivia Newton-John",1982
"January 30","""I Can't Go for That (No Can Do)""","Daryl Hall and John Oates",1982
"February 6","""Centerfold""","The J. Geils Band",1982
"February 13","""Centerfold""","The J. Geils Band",1982
"February 20","""Centerfold""","The J. Geils Band",1982
"February 27","""Centerfold""","The J. Geils Band",1982
"March 6","""Centerfold""","The J. Geils Band",1982
"March 13","""Centerfold""","The J. Geils Band",1982
"March 20","""I Love Rock 'n' Roll""","Joan Jett and the Blackhearts",1982
"March 27","""I Love Rock 'n' Roll""","Joan Jett and the Blackhearts",1982
"April 3","""I Love Rock 'n' Roll""","Joan Jett and the Blackhearts",1982
"April 10","""I Love Rock 'n' Roll""","Joan Jett and the Blackhearts",1982
"April 17","""I Love Rock 'n' Roll""","Joan Jett and the Blackhearts",1982
"April 24","""I Love Rock 'n' Roll""","Joan Jett and the Blackhearts",1982
"May 1","""I Love Rock 'n' Roll""","Joan Jett and the Blackhearts",1982
"May 8","""Chariots of Fire""","Vangelis",1982
"May 15","""Ebony and Ivory""","Paul McCartney and Stevie Wonder",1982
"May 22","""Ebony and Ivory""","Paul McCartney and Stevie Wonder",1982
"May 29","""Ebony and Ivory""","Paul McCartney and Stevie Wonder",1982
"June 5","""Ebony and Ivory""","Paul McCartney and Stevie Wonder",1982
"June 12","""Ebony and Ivory""","Paul McCartney and Stevie Wonder",1982
"June 19","""Ebony and Ivory""","Paul McCartney and Stevie Wonder",1982
"June 26","""Ebony and Ivory""","Paul McCartney and Stevie Wonder",1982
"July 3","""Don't You Want Me""","The Human League",1982
"July 10","""Don't You Want Me""","The Human League",1982
"July 17","""Don't You Want Me""","The Human League",1982
"July 24","""Eye of the Tiger""","Survivor",1982
"July 31","""Eye of the Tiger""","Survivor",1982
"August 7","""Eye of the Tiger""","Survivor",1982
"August 14","""Eye of the Tiger""","Survivor",1982
"August 21","""Eye of the Tiger""","Survivor",1982
"August 28","""Eye of the Tiger""","Survivor",1982
"September 4","""Abracadabra""","Steve Miller Band",1982
"September 11","""Hard to Say I'm Sorry""","Chicago",1982
"September 18","""Hard to Say I'm Sorry""","Chicago",1982
"September 25","""Abracadabra""","Steve Miller Band",1982
"October 2","""Jack & Diane""","John Cougar",1982
"October 9","""Jack & Diane""","John Cougar",1982
"October 16","""Jack & Diane""","John Cougar",1982
"October 23","""Jack & Diane""","John Cougar",1982
"October 30","""Who Can It Be Now?""","Men at Work",1982
"November 6","""Up Where We Belong""","Joe Cocker and Jennifer Warnes",1982
"November 13","""Up Where We Belong""","Joe Cocker and Jennifer Warnes",1982
"November 20","""Up Where We Belong""","Joe Cocker and Jennifer Warnes",1982
"November 27","""Truly""","Lionel Richie",1982
"December 4","""Truly""","Lionel Richie",1982
"December 11","""Mickey""","Toni Basil",1982
"December 18","""Maneater""","Daryl Hall and John Oates",1982
"December 25","""Maneater""","Daryl Hall and John Oates",1982
"January 1","""Maneater""","Hall & Oates",1983
"January 8","""Maneater""","Hall & Oates",1983
"January 15","""Down Under""","Men at Work",1983
"January 22","""Down Under""","Men at Work",1983
"January 29","""Down Under""","Men at Work",1983
"February 5","""Africa""","Toto",1983
"February 12","""Down Under""","Men at Work",1983
"February 19","""Baby, Come to Me""","Patti Austin and James Ingram",1983
"February 26","""Baby, Come to Me""","Patti Austin and James Ingram",1983
"March 5","""Billie Jean""","Michael Jackson",1983
"March 12","""Billie Jean""","Michael Jackson",1983
"March 19","""Billie Jean""","Michael Jackson",1983
"March 26","""Billie Jean""","Michael Jackson",1983
"April 2","""Billie Jean""","Michael Jackson",1983
"April 9","""Billie Jean""","Michael Jackson",1983
"April 16","""Billie Jean""","Michael Jackson",1983
"April 23","""Come On Eileen""","Dexys Midnight Runners",1983
"April 30","""Beat It""","Michael Jackson",1983
"May 7","""Beat It""","Michael Jackson",1983
"May 14","""Beat It""","Michael Jackson",1983
"May 21","""Let's Dance""","David Bowie",1983
"May 28","""Flashdance... What a Feeling""","Irene Cara",1983
"June 4","""Flashdance... What a Feeling""","Irene Cara",1983
"June 11","""Flashdance... What a Feeling""","Irene Cara",1983
"June 18","""Flashdance... What a Feeling""","Irene Cara",1983
"June 25","""Flashdance... What a Feeling""","Irene Cara",1983
"July 2","""Flashdance... What a Feeling""","Irene Cara",1983
"July 9","""Every Breath You Take""","The Police",1983
"July 16","""Every Breath You Take""","The Police",1983
